id,label,género,funció,grupo,universo
1,Belisa,Mujer,Dama,Caballería urbana,Urbano
2,Finea,Mujer,Criada,Criados,Servidumbre
3,Celia,Mujer,Dama,Caballería urbana,Urbano
4,Lucinda,Mujer,Dama,Caballería urbana,Urbano
5,Fabia,Mujer,Criada,Criados,Servidumbre
6,Don Juan de Cardona,Hombre,Galán,Caballería urbana,Urbano
7,Tello,Hombre,Criado,Criados,Servidumbre
8,Octavio,Hombre,Galán,Caballería urbana,Urbano
9,Julio,Hombre,Criado,Criados,Servidumbre
10,Conde Enrique,Hombre,Galán,Nobleza media,Nobleza
11,Fernando,Hombre,Criado,Criados,Servidumbre