,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
1,0,0,0,0,2,2,3,0,1,0,0,0,0,0,0,0,0,0,0,2,2,1
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,0,0,31,4,4,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,0,32,0,1,1,1,0,1,0,0,0,0,3,3,3,3,3,3,0,0,0
5,4,0,3,1,0,17,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2,0,3,0,16,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,3,0,0,0,1,1,0,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,3,0,8,2,6,4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,2,2,0,0,0
16,0,0,0,2,0,0,0,0,0,0,0,0,0,5,5,0,5,5,5,0,0,0
17,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,0,1,1,0,0,0
18,0,0,0,3,0,0,0,0,0,0,0,0,0,5,5,5,5,0,6,0,0,0
19,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,2,2,3,0,0,0,0
20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6
21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4
22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0